OrderID,Amount,Tax,Currency,Date,Time,FileName
1422214,,,EUR,28-10-2024,12:15:31,hds-03-20241028_121531-6529.stm
1436033,,,EUR,31-10-2024,13:19:25,hds-03-20241031_131925-6529.stm
1433851,1.50 GBP,0.25 GBP[mag][bold: off],EUR,31-10-2024,09:20:41,hds-03-20241031_092041-6352.stm
271540,5.00 EUR,0.76,EUR,26-10-2024,18:08:59,hds-03-20241026_170859-6631.stm
271566,9.00 EUR,1.37,EUR,26-10-2024,18:48:31,hds-03-20241026_174831-6631.stm
272947,11.00 EUR,1.68,EUR,29-10-2024,08:01:46,hds-04-20241029_080146-6798.stm
,,,EUR,,,hds-04-20241029_110304-6559.stm
,,,EUR,,,hds-03-20241030_075824-6798.stm
273553,10.80 EUR,1.65,EUR,29-10-2024,12:40:31,hds-04-20241029_124032-6798.stm
1432450,6.90 EUR,1.05,EUR,30-10-2024,16:05:36,hds-04-20241030_160537-6454.stm
274811,5.00 EUR,0.76,EUR,30-10-2024,16:10:51,hds-03-20241030_161051-6631.stm
,,,EUR,,,hds-03-20241026_120251-6971.stm
,,,EUR,,,hds-03-20241028_130602-6529.stm
271218,13.65 EUR,2.07,EUR,25-10-2024,20:23:10,hds-03-20241025_192311-6544.stm
1437308,3.30 EUR,0.50,EUR,01-11-2024,07:29:45,hds-03-20241101_072946-6841.stm
,,,EUR,,,hds-04-20241028_123230-6529.stm
,,,EUR,,,hds-04-20241027_092803-7018.stm
274377,7.50 GBP,0.00 GBP[mag][bold: off],EUR,30-10-2024,11:41:18,hds-03-20241030_114124-6391.stm
1425993,,,EUR,29-10-2024,12:22:42,hds-04-20241029_122242-6529.stm
,,,EUR,,,hds-03-20241029_101913-7018.stm
272649,3.50 EUR,0.53,EUR,28-10-2024,13:09:21,hds-04-20241028_130922-6798.stm
1421009,4.50 EUR,0.69,EUR,28-10-2024,08:38:07,hds-03-20241028_083807-6862.stm
271819,2.50 EUR,0.38,EUR,27-10-2024,16:07:26,hds-04-20241027_160726-6631.stm
1438169,1.50 EUR,0.23,EUR,01-11-2024,11:06:58,hds-03-20241101_110658-6862.stm
275448,8.60 EUR,1.31,EUR,31-10-2024,12:09:08,hds-03-20241031_120909-6798.stm
273841,6.50 EUR,0.99,EUR,29-10-2024,18:39:08,hds-04-20241029_183909-6631.stm
1441079,223.00 EUR,34.03,EUR,01-11-2024,22:31:44,hds-04-20241101_223145-6970.stm
276597,1.75 EUR,0.27,EUR,01-11-2024,16:40:26,hds-04-20241101_164026-6544.stm
,,,EUR,,,hds-03-20241031_125209-6391.stm
272945,2.20 EUR,0.34,EUR,29-10-2024,08:00:03,hds-04-20241029_080003-6631.stm
271249,3.00 EUR,0.43,EUR,25-10-2024,22:42:43,hds-03-20241025_214243-6631.stm
,,,EUR,,,hds-03-20241029_102211-7018.stm
,,,EUR,,,hds-04-20241031_213421-6559.stm
,,,EUR,,,hds-03-20241026_080107-6798.stm
,,,EUR,,,hds-04-20241026_145509-7018.stm
1430548,,,EUR,30-10-2024,12:02:06,hds-03-20241030_120206-6529.stm
,,,EUR,,,hds-03-20241101_130316-6789.stm
275856,19.00 EUR,2.90,EUR,31-10-2024,21:08:16,hds-04-20241031_210816-6514.stm
276596,2.50 EUR,0.38,EUR,01-11-2024,16:40:10,hds-03-20241101_164010-6631.stm
1429838,,,EUR,30-10-2024,09:33:49,hds-03-20241030_093349-6529.stm
275348,2.50 EUR,0.38,EUR,31-10-2024,11:35:09,hds-03-20241031_113509-6798.stm
,,,EUR,,,hds-03-20241029_120940-6529.stm
1430258,7.00 EUR,1.07,EUR,30-10-2024,11:08:28,hds-03-20241030_110828-6862.stm
271402,16.05 EUR,2.46,EUR,26-10-2024,13:34:32,hds-03-20241026_123433-6544.stm
1429636,1.00 GBP,0.17 GBP[mag][bold: off],EUR,30-10-2024,09:01:08,hds-03-20241030_090108-6352.stm
1432761,37.00 EUR,5.64,EUR,30-10-2024,19:03:03,hds-04-20241030_190303-6970.stm
,,,EUR,,,hds-03-20241031_081211-6798.stm
1436811,4.10 EUR,0.43,EUR,31-10-2024,18:46:09,hds-03-20241031_184609-6454.stm
,,,EUR,,,hds-03-20241028_102904-6841.stm
,,,EUR,,,hds-04-20241029_221308-6986.stm
1436130,1.50 EUR,0.23,EUR,31-10-2024,13:31:52,hds-03-20241031_133152-6862.stm
273719,8.00 EUR,inf,EUR,29-10-2024,14:24:23,hds-04-20241029_142424-6631.stm
271341,3.00 EUR,0.46,EUR,26-10-2024,11:44:19,hds-04-20241026_104419-6970.stm
271526,3.25 EUR,0.50,EUR,26-10-2024,17:47:01,hds-04-20241026_164701-6631.stm
,,,EUR,,,hds-04-20241030_114118-6391.stm
,,,EUR,,,hds-04-20241030_091756-6798.stm
273793,10.55 EUR,1.61,EUR,29-10-2024,16:17:22,hds-04-20241029_161722-6544.stm
,,,EUR,,,hds-03-20241028_112337-7018.stm
272803,12.50 EUR,inf,EUR,28-10-2024,16:49:56,hds-04-20241028_164956-6631.stm
271244,15.40 EUR,2.35,EUR,25-10-2024,22:18:24,hds-03-20241025_211825-6544.stm
274780,5.00 EUR,0.73,EUR,30-10-2024,15:19:36,hds-03-20241030_151937-6631.stm
1425259,3.50 EUR,0.53,EUR,29-10-2024,11:44:59,hds-04-20241029_114500-6862.stm
1436280,1.10 GBP,0.00 GBP[mag][bold: off],EUR,31-10-2024,14:03:09,hds-04-20241031_140309-6352.stm
1431072,,,EUR,30-10-2024,12:22:33,hds-04-20241030_122234-6529.stm
,,,EUR,,,hds-03-20241101_164945-7018.stm
,,,EUR,,,hds-03-20241026_193614-6986.stm
276062,1.80 EUR,0.27,EUR,01-11-2024,09:55:00,hds-04-20241101_095500-6631.stm
274769,5.10 GBP,0.85 GBP[mag][bold: off],EUR,30-10-2024,15:02:14,hds-04-20241030_150214-6775.stm
,,,EUR,,,hds-04-20241029_191937-6986.stm
1436266,5.50 EUR,0.84,EUR,31-10-2024,13:59:57,hds-04-20241031_135957-6862.stm
275799,16.75 EUR,2.57,EUR,31-10-2024,17:50:20,hds-04-20241031_175020-6544.stm
1422665,3.00 GBP,0.50 GBP[mag][bold: off],EUR,28-10-2024,12:47:16,hds-03-20241028_124716-6352.stm
,,,EUR,,,hds-04-20241028_125401-6789.stm
,,,EUR,,,hds-03-20241029_221651-6971.stm
,,,EUR,,,hds-03-20241028_135904-7018.stm
273473,7.50 GBP,0.00 GBP[mag][bold: off],EUR,29-10-2024,12:16:29,hds-04-20241029_121638-6391.stm
1429393,,,EUR,30-10-2024,08:23:29,hds-04-20241030_082329-6529.stm
,,,EUR,,,hds-04-20241030_075512-6798.stm
,,,EUR,,,hds-03-20241101_140123-7018.stm
276010,6.50 EUR,0.99,EUR,01-11-2024,09:23:10,hds-03-20241101_092311-6798.stm
1429806,,,EUR,30-10-2024,09:28:44,hds-03-20241030_092844-6529.stm
,,,EUR,,,hds-04-20241101_170306-6798.stm
272554,8.60 EUR,1.30,EUR,28-10-2024,12:32:40,hds-04-20241028_123241-6798.stm
271672,8.50 EUR,inf,EUR,27-10-2024,08:57:57,hds-04-20241027_085757-6631.stm
,,,EUR,,,hds-04-20241029_214731-6986.stm
1439445,3.50 EUR,0.53,EUR,01-11-2024,13:19:59,hds-03-20241101_131959-6862.stm
276777,5.00 EUR,0.76,EUR,02-11-2024,07:53:47,hds-04-20241102_075347-6631.stm
,,,EUR,,,hds-04-20241102_103710-7018.stm
,,,EUR,,,hds-03-20241030_093503-6798.stm
273654,7.60 EUR,1.16,EUR,29-10-2024,13:27:05,hds-04-20241029_132706-6798.stm
,,,EUR,,,hds-04-20241026_133923-6798.stm
276700,69.75 EUR,10.63,EUR,01-11-2024,20:00:56,hds-03-20241101_200056-6725.stm
271785,8.00 EUR,1.22,EUR,27-10-2024,14:29:21,hds-03-20241027_142921-6631.stm
,,,EUR,,,hds-04-20241028_153348-6798.stm
,,,EUR,,,hds-04-20241030_150610-6514.stm
1432709,4.35 EUR,0.65,EUR,30-10-2024,18:36:03,hds-04-20241030_183604-6970.stm
,,,EUR,,,hds-03-20241101_204258-6725.stm
,,,EUR,,,hds-03-20241030_094853-6798.stm
,,,EUR,,,hds-04-20241028_123240-6798.stm
271361,21.00 EUR,3.20,EUR,26-10-2024,12:22:05,hds-03-20241026_112208-6683.stm
271323,16.00 EUR,2.42,EUR,26-10-2024,11:20:59,hds-03-20241026_102100-6631.stm
,,,EUR,,,hds-04-20241028_131147-6529.stm
273789,18.50 GBP,3.08 GBP[mag][bold: off],EUR,29-10-2024,16:00:42,hds-04-20241029_160042-6775.stm
1426049,,,EUR,29-10-2024,12:25:07,hds-04-20241029_122507-6529.stm
1421565,7.00 EUR,1.07,EUR,28-10-2024,11:00:04,hds-04-20241028_110004-6862.stm
,,,EUR,,,hds-04-20241025_152558-6391.stm
276131,7.50 EUR,1.13,EUR,01-11-2024,10:38:02,hds-03-20241101_103802-6631.stm
1438587,2.50 EUR,0.38,EUR,01-11-2024,12:08:47,hds-04-20241101_120847-6862.stm
,,,EUR,,,hds-04-20241025_182524-6684.stm
271091,2.00 EUR,0.31,EUR,25-10-2024,15:41:17,hds-03-20241025_144117-6631.stm
,,,EUR,,,hds-04-20241031_123653-7018.stm
,,,EUR,,,hds-03-20241026_181124-6514.stm
1421517,6.00 EUR,0.92,EUR,28-10-2024,10:45:58,hds-04-20241028_104558-6862.stm
1425169,8.00 EUR,1.22,EUR,29-10-2024,11:23:16,hds-03-20241029_112316-6862.stm
,0.25 EUR,0.00,EUR,,,hds-03-20241031_124447-6970.stm
271313,8.50 EUR,1.30,EUR,26-10-2024,11:05:54,hds-04-20241026_100554-6798.stm
1423014,0.90 EUR,0.14,EUR,28-10-2024,13:37:27,hds-04-20241028_133727-6841.stm
,,,EUR,,,hds-03-20241029_182317-6986.stm
,,,EUR,,,hds-04-20241030_135442-6529.stm
,,,EUR,,,hds-03-20241101_135008-7018.stm
,,,EUR,,,hds-04-20241101_123312-6798.stm
,,,EUR,,,hds-03-20241029_123538-7018.stm
,,,EUR,,,hds-04-20241028_133617-6789.stm
,,,EUR,,,hds-03-20241027_181626-6394.stm
271963,8.30 EUR,1.26,EUR,28-10-2024,07:42:53,hds-04-20241028_074253-6798.stm
1425780,6.00 EUR,0.91,EUR,29-10-2024,12:13:14,hds-03-20241029_121315-6862.stm
,,,EUR,,,hds-04-20241026_205233-6986.stm
275819,5.00 EUR,0.75,EUR,31-10-2024,19:19:14,hds-03-20241031_191914-6631.stm
276848,5.50 EUR,0.00,EUR,02-11-2024,10:12:03,hds-03-20241102_101203-6631.stm
274475,1.50 EUR,0.21,EUR,30-10-2024,12:07:17,hds-03-20241030_120718-6631.stm
1438109,3.50 EUR,0.53,EUR,01-11-2024,10:52:45,hds-03-20241101_105246-6862.stm
275926,64.00 EUR,9.76,EUR,01-11-2024,08:09:30,hds-03-20241101_080931-6798.stm
272223,5.60 EUR,0.84,EUR,28-10-2024,10:43:33,hds-04-20241028_104334-6798.stm
271400,54.70 EUR,8.36,EUR,26-10-2024,13:27:26,hds-04-20241026_122726-6683.stm
,,,EUR,,,hds-04-20241026_184157-6986.stm
1421310,,,EUR,28-10-2024,09:49:58,hds-04-20241028_094958-6529.stm
271422,1.80 EUR,0.27,EUR,26-10-2024,13:54:59,hds-04-20241026_125459-6798.stm
1433300,,,EUR,31-10-2024,08:05:25,hds-04-20241031_080525-6529.stm
,,,EUR,,,hds-03-20241031_192133-6514.stm
275944,22.50 GBP,0.00 GBP[mag][bold: off],EUR,01-11-2024,08:30:24,hds-03-20241101_083030-6391.stm
,,,EUR,,,hds-03-20241031_101936-6841.stm
274786,3.00 EUR,0.44,EUR,30-10-2024,15:22:42,hds-03-20241030_152242-6631.stm
272874,8.40 EUR,1.28,EUR,28-10-2024,20:25:04,hds-03-20241028_202504-6631.stm
1421213,1.75 GBP,0.00 GBP[mag][bold: off],EUR,28-10-2024,09:25:28,hds-04-20241028_092528-6352.stm
1422490,,,EUR,28-10-2024,12:34:40,hds-03-20241028_123440-6529.stm
1439135,,,EUR,01-11-2024,12:46:51,hds-03-20241101_124651-6529.stm
271668,8.00 EUR,1.22,EUR,27-10-2024,08:23:25,hds-04-20241027_082326-6631.stm
,,,EUR,,,hds-04-20241101_132654-7018.stm
276835,3.50 EUR,0.53,EUR,02-11-2024,09:48:07,hds-03-20241102_094807-6798.stm
274050,2.50 EUR,0.38,EUR,30-10-2024,09:12:04,hds-03-20241030_091204-6631.stm
1417256,5.50 EUR,0.84,EUR,25-10-2024,21:31:53,hds-03-20241025_203153-6454.stm
1436542,2.50 EUR,0.37,EUR,31-10-2024,15:27:57,hds-04-20241031_152757-6454.stm
271293,4.50 EUR,0.69,EUR,26-10-2024,10:06:44,hds-04-20241026_090644-6970.stm
,,,EUR,,,hds-03-20241029_170453-7018.stm
,,,EUR,,,hds-03-20241029_115746-6798.stm
1433890,1.75 GBP,0.00 GBP[mag][bold: off],EUR,31-10-2024,09:26:31,hds-04-20241031_092631-6352.stm
1424309,1.00 GBP,0.17 GBP[mag][bold: off],EUR,29-10-2024,08:38:31,hds-04-20241029_083831-6352.stm
1431454,,,EUR,30-10-2024,12:46:45,hds-03-20241030_124645-6529.stm
1421888,7.50 EUR,1.14,EUR,28-10-2024,12:02:52,hds-04-20241028_120252-6862.stm
271155,5.00 EUR,0.76,EUR,25-10-2024,18:11:18,hds-03-20241025_171119-6806.stm
,,,EUR,,,hds-04-20241029_142026-6391.stm
,,,EUR,,,hds-04-20241026_114834-6684.stm
1423129,4.40 EUR,0.66,EUR,28-10-2024,14:16:46,hds-03-20241028_141646-6454.stm
,,,EUR,,,hds-03-20241029_120937-6529.stm
276587,3.20 EUR,0.46,EUR,01-11-2024,16:13:10,hds-03-20241101_161311-6798.stm
,10.50 EUR,1.57,EUR,,,hds-03-20241101_115812-6970.stm
,,,EUR,,,hds-04-20241029_144025-6798.stm
,,,EUR,,,hds-04-20241028_165148-6544.stm
,,,EUR,,,hds-03-20241027_163654-7018.stm
1434195,10.00 EUR,1.52,EUR,31-10-2024,10:36:54,hds-03-20241031_103654-6841.stm
1422660,2.00 GBP,0.33 GBP[mag][bold: off],EUR,28-10-2024,12:46:55,hds-04-20241028_124655-6352.stm
,,,EUR,,,hds-04-20241029_185813-7018.stm
,,,EUR,,,hds-04-20241030_075030-6798.stm
,2.50 EUR,0.38,EUR,,,hds-03-20241028_075536-6862.stm
,,,EUR,,,hds-03-20241031_205019-6953.stm
,,,EUR,,,hds-04-20241030_074637-6798.stm
,,,EUR,,,hds-04-20241031_075423-6798.stm
1431314,,,EUR,30-10-2024,12:37:16,hds-03-20241030_123717-6529.stm
,13.90 EUR,2.10,EUR,,,hds-04-20241030_121352-6970.stm
,,,EUR,,,hds-03-20241030_193659-6971.stm
1426008,0.95 GBP,0.00 GBP[mag][bold: off],EUR,29-10-2024,12:23:29,hds-04-20241029_122329-6352.stm
,,,EUR,,,hds-03-20241031_121455-6789.stm
271283,4.50 EUR,0.64,EUR,26-10-2024,09:29:51,hds-04-20241026_082951-6631.stm
273214,10.80 EUR,1.64,EUR,29-10-2024,11:02:19,hds-04-20241029_110230-6683.stm
,,,EUR,,,hds-04-20241030_121426-6789.stm
274727,7.35 GBP,1.23 GBP[mag][bold: off],EUR,30-10-2024,14:12:03,hds-03-20241030_141203-6775.stm
1429593,,,EUR,30-10-2024,08:53:04,hds-04-20241030_085304-6529.stm
274775,89.45 EUR,13.63,EUR,30-10-2024,15:07:53,hds-03-20241030_150753-6514.stm
